,book_no,title,view,category,book_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,"Always and Forever, Lara Jean (To All the Boys I've Loved Before #3)","(160,648 view)",romance,book_1_0,0.011472028873420984,0.03982985305491106,0.021526166537767462,0.01430781129156999,0.04782160350605826,0.026424336169115752,0.06251611240010313,0.2821603506058262,0.0222995617427172,0.036478473833462234,0.022557360144367104,0.014823408094869813,0.0568445475638051,0.014565609693219904,0.01559680329981954,0.011729827275070895,0.17362722351121426,0.03158030420211395,0.08133539572054653,0.012503222480020624
1,1,The Wedding Date,"(130,721 view)",romance,book_1_1,0.12271362271362272,0.03398853398853398,0.03071253071253072,0.0257985257985258,0.3424788424788425,0.02661752661752662,0.02525252525252525,0.0187005187005187,0.02525252525252525,0.047365547365547364,0.032896532896532896,0.010237510237510235,0.045727545727545726,0.03699153699153699,0.017062517062517064,0.014332514332514331,0.03098553098553098,0.07766857766857768,0.01951951951951952,0.015697515697515697
2,2,Blood Fury (Black Dagger Legacy #3),"(63,764 view)",romance,book_1_2,0.03312219583003431,0.014647664291369752,0.015175508049617313,0.010424914225389284,0.01306413301662708,0.01253628925837952,0.011216679862760624,0.06320929005014515,0.027843758247558727,0.04579044602797572,0.01227236737925574,0.4899709685932964,0.08141989970968594,0.013328054895750858,0.03391396146740565,0.02467669569807337,0.01728688308260755,0.010424914225389284,0.0563473211929269,0.013328054895750858
3,3,Blood Vow (Black Dagger Legacy #2),"(110,952 view)",romance,book_1_3,0.030879864636209814,0.012831359278059786,0.013395375070501972,0.027495769881556685,0.06923293852227863,0.011703327693175407,0.030315848843767625,0.0071912013536379014,0.19754653130287647,0.06415679639029892,0.012549351381838693,0.013677382966723068,0.3007614213197969,0.008037225042301184,0.01847151720248167,0.008037225042301184,0.028623801466441064,0.041032148900169214,0.08276931754089115,0.02129159616469261
4,4,Blood Kiss (Black Dagger Legacy #1),"(110,745 view)",romance,book_1_4,0.020735524256651015,0.008476786645800729,0.02047470005216484,0.05307772561293688,0.09715701617110067,0.0924621804903495,0.07629107981220658,0.047078768909754834,0.042905581637976,0.05542514345331247,0.008476786645800729,0.01343244653103808,0.042123109024517484,0.014997391757955137,0.2059207094418362,0.01056338028169014,0.06768388106416276,0.022300469483568074,0.03664580073030777,0.06377151799687011
5,5,The Boy Who Sneaks in My Bedroom Window,"(292,925 view)",romance,book_1_5,0.028190319031903194,0.0512926292629263,0.055968096809680984,0.02736523652365237,0.07081958195819582,0.05816831683168318,0.025165016501650168,0.012513751375137515,0.02571507150715072,0.0611936193619362,0.038366336633663366,0.016914191419141918,0.11014851485148516,0.011413641364136416,0.15937843784378442,0.010313531353135315,0.04194169416941695,0.05101760176017602,0.06201870187018702,0.0820957095709571
6,6,Taking It All (Surrender Trilogy #3),"(146,332 view)",romance,book_1_6,0.06412453584690089,0.014995715509854329,0.05412739217366468,0.022707797772065132,0.26606683804627257,0.015852613538988862,0.043273350471293916,0.018423307626392462,0.02213653241930877,0.0984004570122822,0.012996286775207084,0.011568123393316195,0.06012567837760641,0.01899457297914882,0.015852613538988862,0.017280776920879752,0.05098543273350472,0.040702656383890326,0.11610968294772925,0.03527563553270495
7,7,Giving In (Surrender Trilogy #2),"(101,989 view)",romance,book_1_7,0.041739383362420016,0.015852239674229204,0.02399650959860384,0.0216695753344968,0.02574171029668412,0.049011052937754505,0.03417684700407213,0.03737638161721931,0.10427574171029667,0.2648342059336824,0.05511925538103549,0.01963350785340314,0.0606457242582897,0.035631180919139034,0.03853984874927283,0.012652705061082023,0.04784758580570099,0.044648051192553814,0.04522978475858057,0.021378708551483418
8,8,Letting Go (Surrender Trilogy #1),"(205,676 view)",romance,book_1_8,0.058074447243212986,0.014133781136300028,0.014413657990484188,0.008816120906801008,0.04547998880492583,0.038483067450321866,0.08970053176602295,0.022809963616008955,0.01329415057374755,0.2984886649874056,0.0163727959697733,0.023649594178561432,0.01581304226140498,0.026168485866218862,0.01973131821998321,0.07654631961936748,0.038483067450321866,0.14231738035264482,0.02672823957458718,0.010495382031905963
9,9,Married By Morning (The Hathaways #4),"(1,233,322 view)",romance,book_1_9,0.015394912985274437,0.030923694779116474,0.03949129852744311,0.02315930388219545,0.11178045515394916,0.1637215528781794,0.15354752342704153,0.0352074966532798,0.011111111111111113,0.02690763052208836,0.03493975903614459,0.01834002677376172,0.02021419009370817,0.15435073627844714,0.020749665327978586,0.026372155287817944,0.05127175368139225,0.032797858099062924,0.016465863453815264,0.013253012048192774
10,10,A Hathaway Wedding (The Hathaways #2.5),"(83,691 view)",romance,book_1_10,0.02067478437341451,0.010527650938609842,0.014586504312531709,0.011542364282090307,0.02524099441907661,0.01763064434297311,0.02143581938102486,0.010781329274479959,0.01737696600710299,0.01991374936580416,0.09069000507356673,0.01433282597666159,0.01763064434297311,0.044520547945205484,0.012303399289700659,0.009512937595129377,0.009512937595129377,0.05948756976154236,0.01991374936580416,0.5523845763571791
