,book_no,title,view,category,book_id,0,1,2,3,4,5,6,7
0,0,"Always and Forever, Lara Jean (To All the Boys I've Loved Before #3)","(160,648 view)",romance,book_1_0,0.158610466615107,0.19186646042794533,0.2722995617427172,0.07791956689868522,0.1140113431296726,0.058584686774942,0.029969064191802005,0.09673885021912863
1,1,The Wedding Date,"(130,721 view)",romance,book_1_1,0.42895167895167896,0.06340431340431342,0.059036309036309034,0.07323232323232325,0.05985530985530986,0.17042042042042044,0.05111930111930112,0.09398034398034401
2,2,Blood Fury (Black Dagger Legacy #3),"(63,764 view)",romance,book_1_2,0.06683821588809713,0.05073898126154658,0.03939034045922407,0.3072710477698601,0.10325943520717867,0.35979150171549223,0.01933227764581684,0.053378200052784375
3,3,Blood Vow (Black Dagger Legacy #2),"(110,952 view)",romance,book_1_3,0.18619571347997746,0.023195149464185,0.054780033840947547,0.08467287084038352,0.037295544275239706,0.34130005640157923,0.04970389170896785,0.2228567399887197
4,4,Blood Kiss (Black Dagger Legacy #1),"(110,745 view)",romance,book_1_4,0.16725352112676056,0.02640845070422535,0.11013302034428794,0.033972352634324465,0.15968961919666144,0.0665753781950965,0.10543818466353676,0.3305294731351069
5,5,The Boy Who Sneaks in My Bedroom Window,"(292,925 view)",romance,book_1_5,0.15600935093509352,0.029771727172717276,0.13153190319031904,0.17691144114411442,0.06497524752475248,0.11723047304730473,0.11283003300330033,0.21073982398239824
6,6,Taking It All (Surrender Trilogy #3),"(146,332 view)",romance,book_1_6,0.4476578120536988,0.043773207654955716,0.09433019137389316,0.04348757497857754,0.10718366181091114,0.12032276492430732,0.04805769780062838,0.09518708940302767
7,7,Giving In (Surrender Trilogy #2),"(101,989 view)",romance,book_1_7,0.16703025014543338,0.04021233275159977,0.07395287958115182,0.09285922047702153,0.12543630017452007,0.1740110529377545,0.05039267015706806,0.27610529377545084
8,8,Letting Go (Surrender Trilogy #1),"(205,676 view)",romance,book_1_8,0.16435768261964734,0.10502378953260566,0.08207388748950463,0.051567310383431285,0.08879093198992444,0.08599216344808285,0.03617408340330255,0.3860201511335013
9,9,Married By Morning (The Hathaways #4),"(1,233,322 view)",romance,book_1_9,0.16419009370816598,0.09591700133868808,0.16526104417670684,0.06405622489959839,0.22416331994645247,0.050133868808567614,0.12643908969210174,0.10983935742971887
10,10,A Hathaway Wedding (The Hathaways #2.5),"(83,691 view)",romance,book_1_10,0.06322932521562659,0.024923896499238964,0.0330416032470827,0.12943937087772706,0.06551243023845764,0.061453576864535765,0.5492770167427702,0.07312278031456114
11,11,Seduce Me at Sunrise (The Hathaways #2),"(933,789 view)",romance,book_1_11,0.0711764705882353,0.028562091503267974,0.04111111111111111,0.07928104575163399,0.03509803921568627,0.13130718954248366,0.5788888888888889,0.034575163398692814
12,12,Tempt Me at Twilight (The Hathaways #3),"(1,150,829 view)",romance,book_1_12,0.050249687890137326,0.06722846441947565,0.3628589263420724,0.03177278401997504,0.08745318352059925,0.032771535580524334,0.33439450686641703,0.033270911360799
13,13,Mine Till Midnight (The Hathaways #1),"(1,300,427 view)",romance,book_1_13,0.05773558368495078,0.060829817158931085,0.08277074542897328,0.3964135021097047,0.1210267229254571,0.14296765119549928,0.032419127988748235,0.1058368495077356
14,14,Castles (Crown's Spies #4),"(298,722 view)",romance,book_1_14,0.09178442781934057,0.047727902466057084,0.09649487392629537,0.07820725962870602,0.06352175117761154,0.12143252978664452,0.40405929620393466,0.09677195899141038
15,15,The Gift (Crown's Spies #3),"(309,306 view)",romance,book_1_15,0.0700401304238776,0.03567845497868071,0.11970152997241032,0.09436919989967392,0.14202407825432656,0.030662151993980438,0.4527840481565086,0.054740406320541765
16,16,Guardian Angel (Crown's Spies #2),"(343,341 view)",romance,book_1_16,0.2311138682106424,0.18369175627240145,0.0648607664736697,0.07258064516129033,0.0684449958643507,0.10732009925558313,0.08416046319272126,0.18782740556934105
17,17,The Lion's Lady (Crown's Spies #1),"(460,147 view)",romance,book_1_17,0.04212844558113101,0.21916737709576584,0.057757885763000866,0.1083404376243251,0.12908496732026148,0.1754049445865303,0.1540920716112532,0.11402387041773232
18,18,Summer in Eclipse Bay (Eclipse Bay #3),"(74,994 view)",romance,book_1_18,0.5481625035888603,0.03079242032730405,0.044860752225093316,0.04342520815389033,0.025337352856732703,0.0974016652311226,0.07271030720643125,0.13730979041056562
19,19,Dawn in Eclipse Bay (Eclipse Bay #2),"(79,582 view)",romance,book_1_19,0.0863684349432568,0.11619160728424388,0.09243863816310373,0.063407231459488,0.3489707046714173,0.08979941937186592,0.05390604381103194,0.1489179202955925
20,20,Eclipse Bay (Eclipse Bay #1),"(100,602 view)",romance,book_1_20,0.1901249335459862,0.17497341839447106,0.2427565124933546,0.10054492291334398,0.06891281233386498,0.0683811802232855,0.04100212652844232,0.11330409356725148
