url,title,view,category,book_id
/always-and-forever-lara-jean-to-all-the-boys-i-ve-loved-before-3.html,"Always and Forever, Lara Jean (To All the Boys I've Loved Before #3)","(160,648 view)",romance,book_1_0
/the-wedding-date.html,The Wedding Date,"(130,721 view)",romance,book_1_1
/blood-fury-black-dagger-legacy-3.html,Blood Fury (Black Dagger Legacy #3),"(63,764 view)",romance,book_1_2
/blood-vow-black-dagger-legacy-2.html,Blood Vow (Black Dagger Legacy #2),"(110,952 view)",romance,book_1_3
/blood-kiss-black-dagger-legacy-1.html,Blood Kiss (Black Dagger Legacy #1),"(110,745 view)",romance,book_1_4
/the-boy-who-sneaks-in-my-bedroom-window.html,The Boy Who Sneaks in My Bedroom Window,"(292,925 view)",romance,book_1_5
/taking-it-all-surrender-trilogy-3.html,Taking It All (Surrender Trilogy #3),"(146,332 view)",romance,book_1_6
/giving-in-surrender-trilogy-2.html,Giving In (Surrender Trilogy #2),"(101,989 view)",romance,book_1_7
/letting-go-surrender-trilogy-1.html,Letting Go (Surrender Trilogy #1),"(205,676 view)",romance,book_1_8
/married-by-morning-the-hathaways-4.html,Married By Morning (The Hathaways #4),"(1,233,322 view)",romance,book_1_9
/a-hathaway-wedding-the-hathaways-2-5.html,A Hathaway Wedding (The Hathaways #2.5),"(83,691 view)",romance,book_1_10
/seduce-me-at-sunrise-the-hathaways-2.html,Seduce Me at Sunrise (The Hathaways #2),"(933,789 view)",romance,book_1_11
/tempt-me-at-twilight-the-hathaways-3.html,Tempt Me at Twilight (The Hathaways #3),"(1,150,829 view)",romance,book_1_12
/mine-till-midnight-the-hathaways-1.html,Mine Till Midnight (The Hathaways #1),"(1,300,427 view)",romance,book_1_13
/castles-crown-s-spies-4.html,Castles (Crown's Spies #4),"(298,722 view)",romance,book_1_14
/the-gift-crown-s-spies-3.html,The Gift (Crown's Spies #3),"(309,306 view)",romance,book_1_15
/guardian-angel-crown-s-spies-2.html,Guardian Angel (Crown's Spies #2),"(343,341 view)",romance,book_1_16
/the-lion-s-lady-crown-s-spies-1.html,The Lion's Lady (Crown's Spies #1),"(460,147 view)",romance,book_1_17
/summer-in-eclipse-bay-eclipse-bay-3.html,Summer in Eclipse Bay (Eclipse Bay #3),"(74,994 view)",romance,book_1_18
/dawn-in-eclipse-bay-eclipse-bay-2.html,Dawn in Eclipse Bay (Eclipse Bay #2),"(79,582 view)",romance,book_1_19
/eclipse-bay-eclipse-bay-1.html,Eclipse Bay (Eclipse Bay #1),"(100,602 view)",romance,book_1_20
/gift-of-fire-gift-2.html,Gift of Fire (Gift #2),"(42,103 view)",romance,book_1_21
/gift-of-gold-gift-1.html,Gift of Gold (Gift #1),"(57,177 view)",romance,book_1_22
/thief-breeding-3.html,Thief (Breeding #3),"(389,655 view)",romance,book_1_23
/mechanic-breeding-2.html,Mechanic (Breeding #2),"(403,490 view)",romance,book_1_24
/coach-breeding-1.html,Coach (Breeding #1),"(398,222 view)",romance,book_1_25
/shield-s-lady-lost-colony-3.html,Shield's Lady (Lost Colony #3),"(48,530 view)",romance,book_1_26
/sweet-starfire-lost-colony-1.html,Sweet Starfire (Lost Colony #1),"(72,312 view)",romance,book_1_27
/until-you-westmoreland-saga-3.html,Until You (Westmoreland Saga #3),"(778,228 view)",romance,book_1_28
/whitney-my-love-westmoreland-saga-2.html,"Whitney, My Love (Westmoreland Saga #2)","(1,394,931 view)",romance,book_1_29
/rumpelstiltskin-timeless-fairy-tales-4.html,Rumpelstiltskin (Timeless Fairy Tales #4),"(76,885 view)",romance,book_1_30
/cinderella-and-the-colonel-timeless-fairy-tales-3.html,Cinderella and the Colonel (Timeless Fairy Tales #3),"(126,066 view)",romance,book_1_31
/the-wild-swans-timeless-fairy-tales-2.html,The Wild Swans (Timeless Fairy Tales #2),"(79,563 view)",romance,book_1_32
/beauty-and-the-beast-timeless-fairy-tales-1.html,Beauty and the Beast (Timeless Fairy Tales #1),"(162,013 view)",romance,book_1_33
/it-s-a-wonderful-tangled-christmas-carol-tangled-4-5.html,It's a Wonderful Tangled Christmas Carol (Tangled #4.5),"(55,941 view)",romance,book_1_34
/tied-tangled-4.html,Tied (Tangled #4),"(145,526 view)",romance,book_1_35
/tamed-tangled-3.html,Tamed (Tangled #3),"(159,345 view)",romance,book_1_36
/holy-frigging-matrimony-a-tangled-series-short-story-tangled-1-5.html,Holy Frigging Matrimony: A Tangled Series Short Story (Tangled #1.5),"(39,602 view)",romance,book_1_37
/tangled-extra-scenes-tangled-1-1.html,Tangled Extra Scenes (Tangled #1.1),"(33,324 view)",romance,book_1_38
/twisted-tangled-2.html,Twisted (Tangled #2),"(198,072 view)",romance,book_1_39
/one-with-you-crossfire-5.html,One with You (Crossfire #5),"(1,060,631 view)",romance,book_1_40
/captivated-by-you-crossfire-4.html,Captivated by You (Crossfire #4),"(178,493 view)",romance,book_1_41
/collin-forever-4.html,Collin (Forever #4),"(147,094 view)",romance,book_1_42
/being-julia-forever-3-5.html,Being Julia (Forever #3.5),"(38,599 view)",romance,book_1_43
/forever-us-forever-3.html,Forever Us (Forever #3),"(89,248 view)",romance,book_1_44
/forever-you-forever-2.html,Forever You (Forever #2),"(116,062 view)",romance,book_1_45
/forever-black-forever-1.html,Forever Black (Forever #1),"(290,799 view)",romance,book_1_46
/storm-and-silence.html,Storm and Silence,"(545,020 view)",romance,book_1_47
/it-ends-with-us.html,It Ends with Us,"(544,304 view)",romance,book_1_48
/wired-buchanan-renard-13.html,Wired (Buchanan-Renard #13),"(1,789,538 view)",romance,book_1_49
/fast-track-buchanan-renard-12.html,Fast Track (Buchanan-Renard #12),"(213,530 view)",romance,book_1_50
/hotshot-buchanan-renard-11.html,Hotshot (Buchanan-Renard #11),"(170,220 view)",romance,book_1_51
/sweet-talk-buchanan-renard-10.html,Sweet Talk (Buchanan-Renard #10),"(186,639 view)",romance,book_1_52
/the-ideal-man-buchanan-renard-9.html,The Ideal Man (Buchanan-Renard #9),"(213,606 view)",romance,book_1_53
/sizzle-buchanan-renard-8.html,Sizzle (Buchanan-Renard #8),"(173,451 view)",romance,book_1_54
