old_id,new_id,old_title,new_title,average_rating,ratings_count,text_reviews_count,author,author_id,image_url,small_image_url,publication_year,percent_positive,percent_negative,percent_neutral,overall_sentiment
0,35247769,"Always and Forever, Lara Jean (To All the Boys I've Loved Before #3)","Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",4.12,147225,16917,Jenny Han,151371,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2017,0.6,0.2,0.2,0.4
1,33815781,The Wedding Date,"The Wedding Date (The Wedding Date, #1)",3.58,74264,9303,Jasmine Guillory,16287225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515694525l/33815781._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515694525l/33815781._SY75_.jpg,2018,0.1,0.3,0.6,0.2
2,34019141,Blood Fury (Black Dagger Legacy #3),"Blood Fury (Black Dagger Legacy, #3)",4.4,14129,1431,J.R. Ward,20248,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491801022l/34019141._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491801022l/34019141._SY75_.jpg,2018,0.2,0.1,0.7,0.15
3,29496208,Blood Vow (Black Dagger Legacy #2),"Blood Vow (Black Dagger Legacy, #2)",4.41,18612,1683,J.R. Ward,20248,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461428631l/29496208._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461428631l/29496208._SY75_.jpg,2016,0.6,0.1,0.3,0.35
4,24903031,Blood Kiss (Black Dagger Legacy #1),"Blood Kiss (Black Dagger Legacy, #1)",4.34,25044,2399,J.R. Ward,20248,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426697749l/24903031._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426697749l/24903031._SY75_.jpg,2015,0.2,0.2,0.6,0.2
5,13628209,The Boy Who Sneaks in My Bedroom Window,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",3.91,64676,4899,Kirsty Moseley,5434809,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398682775l/13628209._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398682775l/13628209._SY75_.jpg,2011,0.3,0.5,0.2,0.4
6,18361934,Taking It All (Surrender Trilogy #3),"Taking It All (Surrender Trilogy, #3)",3.79,6628,398,Maya Banks,24978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377022892l/18361934._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377022892l/18361934._SY75_.jpg,2014,0.1,0.7,0.2,0.4
7,18361924,Giving In (Surrender Trilogy #2),"Giving In (Surrender Trilogy, #2)",3.85,7948,509,Maya Banks,24978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377022725l/18361924._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377022725l/18361924._SY75_.jpg,2014,0.4,0.3,0.3,0.35
8,18281993,Letting Go (Surrender Trilogy #1),"Letting Go (Surrender Trilogy, #1)",3.64,12017,1013,Maya Banks,24978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377020384l/18281993._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377020384l/18281993._SX50_.jpg,2014,0.4,0.6,0,0.5
9,7198269,Married By Morning (The Hathaways #4),"Married By Morning (The Hathaways, #4)",4.14,32114,1818,Lisa Kleypas,27847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380326600l/7198269._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380326600l/7198269._SY75_.jpg,2010,0.5,0.2,0.3,0.35
10,7111961,A Hathaway Wedding (The Hathaways #2.5),"A Hathaway Wedding (The Hathaways, #2.5)",3.85,4713,278,Lisa Kleypas,27847,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,0.3,0.5,0.2,0.4
11,2948832,Seduce Me at Sunrise (The Hathaways #2),"Seduce Me at Sunrise (The Hathaways, #2)",4.09,31648,1798,Lisa Kleypas,27847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390526497l/2948832._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390526497l/2948832._SY75_.jpg,2008,0.5,0.2,0.3,0.35
